H,sigma_ruido,naive,nnls,ols,ridge,ssrc
5,0.0,2.6119493790279185,2.529344761369644,1.6150640391528472,1.5469170471126192,0.2233101372886725
5,0.05,2.487207009936064,2.4726398091373785,1.7787163887391875,1.7942924518039245,0.4034835561255885
5,0.1,2.296231884829404,2.2983221837349905,1.83058194049574,1.8415357056884876,0.5511677200963254
5,0.2,1.8339604314831002,1.8196347217701452,1.5579716383031614,1.583287455003079,0.6851639744337522
5,0.5,1.0556807708549705,0.963024809226627,0.9541652754119561,0.9643666188291202,0.7516223390920886
10,0.0,3.4799522686782365,3.3281297306340774,2.3922714065389545,2.392788251972469,0.5002142089365501
10,0.05,3.383835830477629,3.230065143305086,2.5591721785781174,2.5728169915333448,0.7431366160810673
10,0.1,3.1088768584084865,2.932032159679501,2.469877702323847,2.4463635456800783,0.9011501462010434
10,0.2,2.4365476863863464,2.232507293838504,1.9986041283179103,2.000751626696372,1.0538482585420372
10,0.5,1.3259622972091858,1.141698544866045,1.1431810522671388,1.155600018340041,0.9367858911704678
